Ensembl Gene ID	Transcript length (including UTRs and CDS)	Associated Gene Name
ENSGALG00000015352	3747	GAK
ENSGALG00000015352	2802	GAK
ENSGALG00000014955	945	
ENSGALG00000014955	912	
ENSGALG00000030254	1107	
ENSGALG00000030254	778	
ENSGALG00000034419	67	
ENSGALG00000031300	450	
ENSGALG00000038936	2097	TMEM182
ENSGALG00000038936	729	TMEM182
ENSGALG00000038936	675	TMEM182
ENSGALG00000032763	1664	MECR
ENSGALG00000032763	584	MECR
ENSGALG00000039455	1421	
ENSGALG00000040530	3104	
ENSGALG00000040530	3888	
ENSGALG00000007167	3033	CLEC16A
ENSGALG00000007167	3033	CLEC16A
ENSGALG00000007167	3033	CLEC16A
ENSGALG00000041699	66	
ENSGALG00000009268	1608	FGG
ENSGALG00000009966	2519	FRS2
ENSGALG00000007276	7968	GCN1
ENSGALG00000037791	3099	FRMD4B
ENSGALG00000030069	1374	
ENSGALG00000008602	2260	SLC39A12
ENSGALG00000008602	1907	SLC39A12
ENSGALG00000018819	1292	TBCEL
ENSGALG00000018882	910	
ENSGALG00000018882	468	
ENSGALG00000029769	836	
ENSGALG00000028539	1178	TRAPPC3L
ENSGALG00000028539	528	TRAPPC3L
ENSGALG00000008808	1324	DTD1
ENSGALG00000008808	1449	DTD1
ENSGALG00000007300	2807	PYCR2
ENSGALG00000007300	2645	PYCR2
ENSGALG00000007300	1883	PYCR2
ENSGALG00000031766	1416	PPP1R7
ENSGALG00000031766	1351	PPP1R7
ENSGALG00000031766	1347	PPP1R7
ENSGALG00000031766	1475	PPP1R7
ENSGALG00000041124	2013	NOLC1
ENSGALG00000041124	1935	NOLC1
ENSGALG00000041124	1890	NOLC1
ENSGALG00000033173	1289	
ENSGALG00000003770	1893	ANXA2
ENSGALG00000003770	799	ANXA2
ENSGALG00000003770	1537	ANXA2
ENSGALG00000022874	1619	RAB31
ENSGALG00000030486	456	
ENSGALG00000035414	6541	ZNF385C
ENSGALG00000038473	3752	
ENSGALG00000004532	2955	
ENSGALG00000004532	2841	
ENSGALG00000009525	1572	HAT1
ENSGALG00000029144	623	
ENSGALG00000033661	888	LDHB
ENSGALG00000014342	1724	TEAD4
ENSGALG00000014342	1510	TEAD4
ENSGALG00000014342	1696	TEAD4
ENSGALG00000014342	1439	TEAD4
ENSGALG00000014342	1651	TEAD4
ENSGALG00000014342	1509	TEAD4
ENSGALG00000014342	1539	TEAD4
ENSGALG00000038162	5132	FAM26E
ENSGALG00000009272	1707	
ENSGALG00000023821	2025	
ENSGALG00000024136	834	
ENSGALG00000014962	1258	FAM26F
ENSGALG00000039641	2293	
ENSGALG00000012414	2027	GNPNAT1
ENSGALG00000012414	525	GNPNAT1
ENSGALG00000006638	2277	GRIK4
ENSGALG00000006638	1813	GRIK4
ENSGALG00000041647	627	
ENSGALG00000035758	1660	
ENSGALG00000035758	1551	
ENSGALG00000035758	1419	
ENSGALG00000035758	1419	
ENSGALG00000035758	1482	
ENSGALG00000034102	2876	ARL2BP
ENSGALG00000034102	441	ARL2BP
ENSGALG00000042032	432	
ENSGALG00000035113	1047	DEXI
ENSGALG00000014963	2933	DSE
ENSGALG00000039583	3522	MITF
ENSGALG00000039583	1158	MITF
ENSGALG00000007305	2043	NME1
ENSGALG00000008793	2692	SEC23B
ENSGALG00000009975	1983	CCT2
ENSGALG00000009975	1629	CCT2
ENSGALG00000009276	1074	LRAT
ENSGALG00000028357	4326	
ENSGALG00000010074	2454	
ENSGALG00000005599	1590	
ENSGALG00000033812	3751	
ENSGALG00000033812	3447	
ENSGALG00000033812	2772	
ENSGALG00000038891	864	
ENSGALG00000009278	1422	RBM46
ENSGALG00000007171	3367	CIITA
ENSGALG00000003369	2415	KAT2A
ENSGALG00000031440	4602	PTPRU
ENSGALG00000031440	4293	PTPRU
ENSGALG00000033739	1323	POU3F3
ENSGALG00000033739	1344	POU3F3
ENSGALG00000033739	1254	POU3F3
ENSGALG00000033739	672	POU3F3
ENSGALG00000041463	1551	
ENSGALG00000041463	1465	
ENSGALG00000032092	2919	PPP4R1
ENSGALG00000032092	2850	PPP4R1
ENSGALG00000032092	2961	PPP4R1
ENSGALG00000032092	2841	PPP4R1
ENSGALG00000025772	1644	ELOVL3
ENSGALG00000033374	420	
ENSGALG00000006799	5501	AP2A2
ENSGALG00000006799	2808	AP2A2
ENSGALG00000007308	3186	RAB35
ENSGALG00000009280	1278	NPY2R
ENSGALG00000027498	828	
ENSGALG00000030329	1550	
ENSGALG00000012425	2163	FERMT2
ENSGALG00000012425	2142	FERMT2
ENSGALG00000012425	2109	FERMT2
ENSGALG00000042409	1026	
ENSGALG00000020253	1212	
ENSGALG00000023819	507	
ENSGALG00000015366	1170	
ENSGALG00000009153	3453	COPA
ENSGALG00000009153	5080	COPA
ENSGALG00000009976	1683	LRRC10
ENSGALG00000032500	273	
ENSGALG00000023818	504	
ENSGALG00000014964	1586	NT5DC1
ENSGALG00000014964	1251	NT5DC1
ENSGALG00000014964	1527	NT5DC1
ENSGALG00000006663	4635	ARHGEF12
ENSGALG00000006663	4578	ARHGEF12
ENSGALG00000035946	2364	GUCY1A3
ENSGALG00000009545	2447	SLC25A12
ENSGALG00000009545	2350	SLC25A12
ENSGALG00000009545	2089	SLC25A12
ENSGALG00000009545	2488	SLC25A12
ENSGALG00000003788	933	BNIP2
ENSGALG00000003788	1107	BNIP2
ENSGALG00000008749	1497	POLR3F
ENSGALG00000008749	1301	POLR3F
ENSGALG00000043481	447	
ENSGALG00000005613	879	
ENSGALG00000015368	3134	TMEM175
ENSGALG00000010018	1366	
ENSGALG00000007319	1572	BICDL1
ENSGALG00000007319	1476	BICDL1
ENSGALG00000032190	4794	MICAL1
ENSGALG00000032190	3352	MICAL1
ENSGALG00000040085	1224	
ENSGALG00000040085	907	
ENSGALG00000040085	1119	
ENSGALG00000030321	483	LIN7B
ENSGALG00000027765	3771	MRC1L-D
ENSGALG00000038731	7294	
ENSGALG00000006830	1400	CHID1
ENSGALG00000012426	2424	DDHD1
ENSGALG00000007216	828	TVP23A
ENSGALG00000007216	618	TVP23A
ENSGALG00000007216	609	TVP23A
ENSGALG00000003359	1944	RAB5C
ENSGALG00000003359	1867	RAB5C
ENSGALG00000035298	2128	
ENSGALG00000029411	5328	
ENSGALG00000010083	4684	ST3GAL3
ENSGALG00000010083	1487	ST3GAL3
ENSGALG00000010083	1469	ST3GAL3
ENSGALG00000010083	4411	ST3GAL3
ENSGALG00000010083	2119	ST3GAL3
ENSGALG00000010029	2010	BEST3
ENSGALG00000015372	405	ATP5I
ENSGALG00000005823	4364	HDLBP
ENSGALG00000005823	3774	HDLBP
ENSGALG00000014965	2042	COL10A1
ENSGALG00000043402	1130	
ENSGALG00000003793	747	GTF2A2
ENSGALG00000008405	2717	RALBP1
ENSGALG00000008405	1918	RALBP1
ENSGALG00000012429	1529	BMP4
ENSGALG00000008731	2446	DZANK1
ENSGALG00000036801	1039	
ENSGALG00000016794	1301	MRPS9
ENSGALG00000016794	1190	MRPS9
ENSGALG00000031015	477	
ENSGALG00000031015	531	
ENSGALG00000014979	1602	FRK
ENSGALG00000040734	2031	
ENSGALG00000012452	3054	
ENSGALG00000035534	903	
ENSGALG00000009361	2169	GUCY1B3
ENSGALG00000009361	2106	GUCY1B3
ENSGALG00000009361	2097	GUCY1B3
ENSGALG00000009361	2016	GUCY1B3
ENSGALG00000009361	2085	GUCY1B3
ENSGALG00000003802	2667	OTUD7A
ENSGALG00000033245	1558	SMPD2
ENSGALG00000003354	2172	KCNH4
ENSGALG00000003354	390	KCNH4
ENSGALG00000006837	1629	TSPAN4
ENSGALG00000006837	651	TSPAN4
ENSGALG00000006837	549	TSPAN4
ENSGALG00000026316	2260	TMEM136
ENSGALG00000008400	1547	TWSG1
ENSGALG00000026594	2297	HS3ST5
ENSGALG00000039834	1308	
ENSGALG00000030867	570	
ENSGALG00000007241	1097	NUBP1
ENSGALG00000040828	1707	POLB
ENSGALG00000040828	1599	POLB
ENSGALG00000007354	6084	CIT
ENSGALG00000039158	883	
ENSGALG00000032108	2344	TMEM136-1
ENSGALG00000016795	2592	TGFBRAP1
ENSGALG00000009959	1761	
ENSGALG00000009959	1121	
ENSGALG00000009959	1097	
ENSGALG00000008713	871	BIRC5
ENSGALG00000008713	845	BIRC5
ENSGALG00000008713	968	BIRC5
ENSGALG00000035665	567	
ENSGALG00000036761	300	
ENSGALG00000032748	300	
ENSGALG00000005809	1062	2-Sep
ENSGALG00000039066	390	
ENSGALG00000031182	6126	FANCM
ENSGALG00000005637	9977	GBF1
ENSGALG00000011485	617	HCRT
ENSGALG00000034001	7697	SPAG9
ENSGALG00000034001	7694	SPAG9
ENSGALG00000034001	7682	SPAG9
ENSGALG00000034001	7643	SPAG9
ENSGALG00000034001	6822	SPAG9
ENSGALG00000034001	4126	SPAG9
ENSGALG00000034001	3678	SPAG9
ENSGALG00000034001	3516	SPAG9
ENSGALG00000015373	2511	PDE6B
ENSGALG00000015373	2493	PDE6B
ENSGALG00000041982	678	
ENSGALG00000008638	4248	
ENSGALG00000007257	1452	TEKT5
ENSGALG00000038929	435	
ENSGALG00000026590	546	
ENSGALG00000006673	1251	POU2F3
ENSGALG00000016796	4213	C1H2ORF49
ENSGALG00000041481	2912	
ENSGALG00000041481	2755	
ENSGALG00000006841	501	POLR2L
ENSGALG00000040116	2125	
ENSGALG00000029799	951	EDPE
ENSGALG00000008399	9445	ANKRD12
ENSGALG00000008399	9202	ANKRD12
ENSGALG00000008399	978	ANKRD12
ENSGALG00000010094	2312	B4GALT2
ENSGALG00000010094	1182	B4GALT2
ENSGALG00000010094	2317	B4GALT2
ENSGALG00000040741	2392	DNM2
ENSGALG00000040741	2349	DNM2
ENSGALG00000040741	1710	DNM2
ENSGALG00000013424	1431	TULP3
ENSGALG00000013424	1416	TULP3
ENSGALG00000013424	1092	TULP3
ENSGALG00000008707	4433	CSRP2BP
ENSGALG00000043513	1354	TEAD3
ENSGALG00000043513	1290	TEAD3
ENSGALG00000043513	1743	TEAD3
ENSGALG00000042066	2404	
ENSGALG00000006715	1956	OAF
ENSGALG00000030687	1933	LGI3
ENSGALG00000018878	1563	
ENSGALG00000009551	3084	DYNC1I2
ENSGALG00000009551	2611	DYNC1I2
ENSGALG00000009551	2049	DYNC1I2
ENSGALG00000027058	1981	EMP2
ENSGALG00000012464	3324	SOUL
ENSGALG00000019352	2691	MYRFL
ENSGALG00000001463	1173	PDIK1L
ENSGALG00000001463	1146	PDIK1L
ENSGALG00000001463	1095	PDIK1L
ENSGALG00000001463	1119	PDIK1L
ENSGALG00000001463	1062	PDIK1L
ENSGALG00000001463	1032	PDIK1L
ENSGALG00000003345	3204	
ENSGALG00000003345	3000	
ENSGALG00000003345	3420	
ENSGALG00000003345	4650	
ENSGALG00000006856	3214	CD151
ENSGALG00000009366	894	
ENSGALG00000039918	1558	
ENSGALG00000016797	1788	FHL2
ENSGALG00000016797	1724	FHL2
ENSGALG00000032098	681	ARTN
ENSGALG00000027316	1155	CRNN
ENSGALG00000031152	3619	
ENSGALG00000034465	1137	
ENSGALG00000007373	2475	PRKAB1
ENSGALG00000007373	744	PRKAB1
ENSGALG00000032887	963	
ENSGALG00000042360	1889	TRIM29
ENSGALG00000042360	1847	TRIM29
ENSGALG00000005788	3181	FARP2
ENSGALG00000005788	2965	FARP2
ENSGALG00000005788	2314	FARP2
ENSGALG00000005649	711	TMEM150A
ENSGALG00000005649	873	TMEM150A
ENSGALG00000015374	878	RBP4B
ENSGALG00000015374	651	RBP4B
ENSGALG00000014991	1896	HDAC2
ENSGALG00000014991	2005	HDAC2
ENSGALG00000014991	1810	HDAC2
ENSGALG00000014991	1614	HDAC2
ENSGALG00000043660	3132	
ENSGALG00000036625	872	NDUFV2
ENSGALG00000006862	606	
ENSGALG00000033985	255	
ENSGALG00000031301	1634	TULP1
ENSGALG00000013422	1133	RHNO1
ENSGALG00000003333	5199	
ENSGALG00000030967	1523	
ENSGALG00000016799	2257	NCK2
ENSGALG00000008702	852	OVOL2
ENSGALG00000008702	789	OVOL2
ENSGALG00000036711	574	S100A11
ENSGALG00000036560	363	
ENSGALG00000020975	369	TMEM233
ENSGALG00000020975	387	TMEM233
ENSGALG00000028304	4347	
ENSGALG00000034772	5487	SLC27A5
ENSGALG00000034772	5370	SLC27A5
ENSGALG00000006868	1245	CRACR2B
ENSGALG00000039196	1380	NECTIN1
ENSGALG00000039196	1263	NECTIN1
ENSGALG00000015376	4889	IDUA
ENSGALG00000043690	727	C2orf40
ENSGALG00000007278	4377	GRIN2A
ENSGALG00000007278	3405	GRIN2A
ENSGALG00000012466	764	FKBP3
ENSGALG00000012466	1464	FKBP3
ENSGALG00000012466	735	FKBP3
ENSGALG00000035631	1019	
ENSGALG00000030703	1466	CYBRD1
ENSGALG00000042148	1941	FKBP5
ENSGALG00000039035	482	
ENSGALG00000038316	8525	MTCL1
ENSGALG00000010042	2693	CNOT2
ENSGALG00000010042	1623	CNOT2
ENSGALG00000013420	1174	FOXM1
ENSGALG00000013420	3284	FOXM1
ENSGALG00000007383	594	HSPB8
ENSGALG00000037226	119	5S_rRNA
ENSGALG00000034107	1616	TRIM63
ENSGALG00000006746	549	
ENSGALG00000034947	119	5S_rRNA
ENSGALG00000027423	2498	SLC26A1
ENSGALG00000016801	1964	UXS1
ENSGALG00000009147	2768	NCSTN
ENSGALG00000041250	120	5S_rRNA
ENSGALG00000042033	887	PRKAG1
ENSGALG00000042033	846	PRKAG1
ENSGALG00000042033	897	PRKAG1
ENSGALG00000014569	1528	PNPLA2
ENSGALG00000037367	249	
ENSGALG00000029869	120	5S_rRNA
ENSGALG00000015615	1953	DOK7
ENSGALG00000015615	1788	DOK7
ENSGALG00000015615	1788	DOK7
ENSGALG00000015615	1755	DOK7
ENSGALG00000015615	1749	DOK7
ENSGALG00000015615	1749	DOK7
ENSGALG00000015615	1746	DOK7
ENSGALG00000015615	1746	DOK7
ENSGALG00000015615	1548	DOK7
ENSGALG00000015615	1536	DOK7
ENSGALG00000008698	2401	MGME1
ENSGALG00000008698	1440	MGME1
ENSGALG00000038407	4396	
ENSGALG00000038407	4370	
ENSGALG00000038407	1125	
ENSGALG00000034934	348	CLPS
ENSGALG00000037726	1508	MARCKS
ENSGALG00000042712	119	5S_rRNA
ENSGALG00000015382	2203	CHRNA6
ENSGALG00000036459	1045	THAP7
ENSGALG00000036459	1427	THAP7
ENSGALG00000007291	1589	C16orf72
ENSGALG00000010087	3381	IPO13
ENSGALG00000010087	3375	IPO13
ENSGALG00000010087	2850	IPO13
ENSGALG00000003849	4896	TRPM1
ENSGALG00000003849	4815	TRPM1
ENSGALG00000003849	876	TRPM1
ENSGALG00000033608	753	RAB12
ENSGALG00000033608	732	RAB12
ENSGALG00000010375	1020	SLC30A2
ENSGALG00000038620	119	5S_rRNA
ENSGALG00000006751	1864	THY1
ENSGALG00000016802	1122	tmtops2
ENSGALG00000038383	119	5S_rRNA
ENSGALG00000010044	1088	KCNMB4
ENSGALG00000035606	573	
ENSGALG00000003282	4074	STAT5B
ENSGALG00000003282	4094	STAT5B
ENSGALG00000003282	2743	STAT5B
ENSGALG00000003282	2337	STAT5B
ENSGALG00000005653	3194	NFKB2
ENSGALG00000005653	2854	NFKB2
ENSGALG00000005653	2661	NFKB2
ENSGALG00000037327	1626	DCAF17
ENSGALG00000037327	1635	DCAF17
ENSGALG00000015384	2282	CHRNB3
ENSGALG00000042968	121	5S_rRNA
ENSGALG00000031223	3096	
ENSGALG00000025817	2272	NHLH1
ENSGALG00000039170	1539	LHFPL5
ENSGALG00000039170	1073	LHFPL5
ENSGALG00000034351	135	SNORA2
ENSGALG00000041995	978	
ENSGALG00000037739	2400	STK25
ENSGALG00000037739	2302	STK25
ENSGALG00000037739	2429	STK25
ENSGALG00000037739	1371	STK25
ENSGALG00000043829	2449	EXTL1
ENSGALG00000034902	300	
ENSGALG00000016803	2267	ST6GAL2
ENSGALG00000041496	153	5_8S_rRNA
ENSGALG00000012468	1362	
ENSGALG00000033235	1373	
ENSGALG00000033235	663	
ENSGALG00000033056	73	gga-mir-383
ENSGALG00000030643	1566	VANGL2
ENSGALG00000015001	10481	LAMA4
ENSGALG00000008629	4377	
ENSGALG00000042386	886	
ENSGALG00000014335	1383	ITFG2
ENSGALG00000014335	1329	ITFG2
ENSGALG00000043466	107	
ENSGALG00000015385	735	THAP1
ENSGALG00000015385	654	THAP1
ENSGALG00000034811	1043	RPLP2
ENSGALG00000034811	375	RPLP2
ENSGALG00000034811	500	RPLP2
ENSGALG00000026533	246	
ENSGALG00000007364	1825	TOB1
ENSGALG00000008691	2102	SNX5
ENSGALG00000037037	77	Hammerhead_HH9
ENSGALG00000037546	3062	SRPK1
ENSGALG00000041443	300	
ENSGALG00000034773	1956	
ENSGALG00000028715	112	
ENSGALG00000029488	2431	
ENSGALG00000007367	1713	WFIKKN2
ENSGALG00000039266	107	gga-mir-3594
ENSGALG00000010089	1854	DPH2
ENSGALG00000041930	375	
ENSGALG00000016804	1737	SLC5A7
ENSGALG00000034082	97	
ENSGALG00000030002	1962	KRT18
ENSGALG00000030002	1770	KRT18
ENSGALG00000007307	4016	USP7
ENSGALG00000007307	3252	USP7
ENSGALG00000021658	1408	PAFAH2
ENSGALG00000021658	1746	PAFAH2
ENSGALG00000032669	66	
ENSGALG00000006229	1475	
ENSGALG00000006229	1280	
ENSGALG00000026189	1080	
ENSGALG00000005772	1782	BOK
ENSGALG00000031284	4380	PTPRM
ENSGALG00000031284	4353	PTPRM
ENSGALG00000031284	4314	PTPRM
ENSGALG00000029876	591	
ENSGALG00000015386	1087	RNF170
ENSGALG00000010049	6151	
ENSGALG00000010049	6329	
ENSGALG00000010049	6218	
ENSGALG00000040498	2396	SLC26A8
ENSGALG00000009564	1260	METTL8
ENSGALG00000009564	1209	METTL8
ENSGALG00000016805	1543	SULT1C3
ENSGALG00000010091	845	ATP6V0B
ENSGALG00000040058	378	
ENSGALG00000012489	2347	KLHL28
ENSGALG00000012489	1749	KLHL28
ENSGALG00000012489	1635	KLHL28
ENSGALG00000014331	2485	FKBP4
ENSGALG00000005768	2452	ETV5
ENSGALG00000015017	1428	
ENSGALG00000035856	816	
ENSGALG00000035287	1635	STAM
ENSGALG00000006755	1389	USP2
ENSGALG00000006755	1458	USP2
ENSGALG00000006755	1602	USP2
ENSGALG00000006755	1113	USP2
ENSGALG00000006755	1119	USP2
ENSGALG00000015390	2483	HOOK3
ENSGALG00000037803	348	
ENSGALG00000041983	2371	
ENSGALG00000041983	2430	
ENSGALG00000041983	2210	
ENSGALG00000040717	1551	
ENSGALG00000040717	1419	
ENSGALG00000033964	1037	
ENSGALG00000008676	3369	RRBP1
ENSGALG00000042833	510	
ENSGALG00000029575	270	
ENSGALG00000040002	1152	
ENSGALG00000035639	327	
ENSGALG00000031743	300	
ENSGALG00000040729	2688	PIDD1
ENSGALG00000040729	2637	PIDD1
ENSGALG00000003267	2389	STAT3
ENSGALG00000003267	2256	STAT3
ENSGALG00000012505	2325	LRFN5
ENSGALG00000008659	1002	HACD1
ENSGALG00000037486	5791	SAE1
ENSGALG00000040650	747	
ENSGALG00000040650	621	
ENSGALG00000040650	591	
ENSGALG00000019934	393	
ENSGALG00000034222	321	
ENSGALG00000017933	155	U1
ENSGALG00000042551	2862	PSD
ENSGALG00000042551	2823	PSD
ENSGALG00000042551	1206	PSD
ENSGALG00000037656	1414	NECAP1
ENSGALG00000030966	1616	MAPK13
ENSGALG00000042091	1218	
ENSGALG00000017864	132	SNORA3
ENSGALG00000043411	1488	
ENSGALG00000043411	621	
ENSGALG00000015391	1575	
ENSGALG00000015391	1232	
ENSGALG00000033342	1248	
ENSGALG00000042981	2298	CARHSP1
ENSGALG00000017863	132	SNORA3
ENSGALG00000034016	2422	DHX34
ENSGALG00000015022	2098	FYN
ENSGALG00000033317	273	
ENSGALG00000005721	2655	DGKG
ENSGALG00000008667	1884	DSTN
ENSGALG00000042652	918	LRRC30
ENSGALG00000024525	118	5S_rRNA
ENSGALG00000010098	3613	SLC6A9
ENSGALG00000010098	1917	SLC6A9
ENSGALG00000001475	1199	STMN1
ENSGALG00000001475	1902	STMN1
ENSGALG00000001475	1000	STMN1
ENSGALG00000001475	945	STMN1
ENSGALG00000000776	1851	
ENSGALG00000042451	453	
ENSGALG00000032979	1260	
ENSGALG00000039745	2418	
ENSGALG00000025682	100	U6
ENSGALG00000038918	671	
ENSGALG00000029528	5561	KIRREL
ENSGALG00000029528	1776	KIRREL
ENSGALG00000043717	411	
ENSGALG00000008671	1105	ST8SIA6
ENSGALG00000008671	1200	ST8SIA6
ENSGALG00000014329	1787	FOXJ2
ENSGALG00000015623	1752	HGFAC
ENSGALG00000009569	2387	TLK1
ENSGALG00000009569	4240	TLK1
ENSGALG00000009569	6126	TLK1
ENSGALG00000042074	103	U6
ENSGALG00000015397	1626	FNTA
ENSGALG00000016806	5076	GCC2
ENSGALG00000016806	5037	GCC2
ENSGALG00000007326	2022	PMM2
ENSGALG00000029570	1032	
ENSGALG00000039130	1374	TBC1D22B
ENSGALG00000015026	1599	TRAF3IP2
ENSGALG00000003883	1344	
ENSGALG00000041552	273	
ENSGALG00000025103	121	SNORA54
ENSGALG00000039766	740	
ENSGALG00000041070	486	
ENSGALG00000028520	1158	CST3
ENSGALG00000040855	2974	
ENSGALG00000025849	167	uc_338
ENSGALG00000005675	2161	PTTG1IP
ENSGALG00000005684	950	FBXL15
ENSGALG00000006758	1264	C1QTNF5
ENSGALG00000006758	750	C1QTNF5
ENSGALG00000010101	366	
ENSGALG00000033939	450	
ENSGALG00000024631	111	SNORD67
ENSGALG00000015399	1810	FUT10
ENSGALG00000003261	2928	PTRF
ENSGALG00000003261	2919	PTRF
ENSGALG00000003261	468	PTRF
ENSGALG00000030044	1050	
ENSGALG00000029276	3577	PPP1R9B
ENSGALG00000003906	1998	MPHOSPH10
ENSGALG00000028103	134	WT1-AS_7
ENSGALG00000039335	3046	SLC25A22
ENSGALG00000010148	2470	
ENSGALG00000007386	3257	LUC7L3
ENSGALG00000007386	1302	LUC7L3
ENSGALG00000032783	1019	SUMO3
ENSGALG00000029356	2184	
ENSGALG00000038902	2081	PIM1
ENSGALG00000038902	627	PIM1
ENSGALG00000017866	124	SNORA28
ENSGALG00000034280	741	
ENSGALG00000027712	1560	
ENSGALG00000028775	122	uc_338
ENSGALG00000010104	1479	DMAP1
ENSGALG00000009680	1429	PAQR7
ENSGALG00000009680	1465	PAQR7
ENSGALG00000009680	1280	PAQR7
ENSGALG00000003913	2966	MCEE
ENSGALG00000025957	163	uc_338
ENSGALG00000005667	643	UBE2G2
ENSGALG00000034775	219	
ENSGALG00000010152	1091	TSPAN8
ENSGALG00000039370	249	
ENSGALG00000007388	1866	SRRM4
ENSGALG00000007388	1824	SRRM4
ENSGALG00000007388	1815	SRRM4
ENSGALG00000007388	1800	SRRM4
ENSGALG00000007388	1710	SRRM4
ENSGALG00000007388	1494	SRRM4
ENSGALG00000027404	188	uc_338
ENSGALG00000015422	3202	NRG1
ENSGALG00000015422	1503	NRG1
ENSGALG00000014324	1684	SLC2A3
ENSGALG00000014324	1497	SLC2A3
ENSGALG00000014297	1999	IRF7
ENSGALG00000027360	163	uc_338
ENSGALG00000009583	2149	GORASP2
ENSGALG00000030373	411	
ENSGALG00000000669	2571	ETV3
ENSGALG00000000669	1823	ETV3
ENSGALG00000038833	576	
ENSGALG00000028175	1542	GJA9
ENSGALG00000027034	171	uc_338
ENSGALG00000007389	2974	ANKRD40
ENSGALG00000007389	988	ANKRD40
ENSGALG00000029917	5199	SGCA
ENSGALG00000029917	4621	SGCA
ENSGALG00000029917	4545	SGCA
ENSGALG00000029917	4290	SGCA
ENSGALG00000039587	771	SYNDIG1
ENSGALG00000039587	735	SYNDIG1
ENSGALG00000003930	2268	APBA2
ENSGALG00000033197	4187	
ENSGALG00000026889	178	uc_338
ENSGALG00000007334	1626	ABAT
ENSGALG00000007334	1476	ABAT
ENSGALG00000030318	2574	
ENSGALG00000030318	2457	
ENSGALG00000010106	813	ERI3
ENSGALG00000031101	1483	
ENSGALG00000015033	1280	REV3L
ENSGALG00000015033	9526	REV3L
ENSGALG00000015033	9504	REV3L
ENSGALG00000010163	2730	LGR5
ENSGALG00000027138	1119	ETV3L
ENSGALG00000025793	174	uc_338
ENSGALG00000003256	4149	ATP6V0A1
ENSGALG00000003256	4198	ATP6V0A1
ENSGALG00000003256	4180	ATP6V0A1
ENSGALG00000029406	825	
ENSGALG00000014615	9652	LAMA1
ENSGALG00000014615	9294	LAMA1
ENSGALG00000025674	86	SNORD127
ENSGALG00000042574	564	
ENSGALG00000024295	413	
ENSGALG00000024295	411	
ENSGALG00000005655	2007	TSPEAR
ENSGALG00000005655	2364	TSPEAR
ENSGALG00000027772	930	NANOG
ENSGALG00000025695	273	SCARNA13
ENSGALG00000035207	1236	TDO2
ENSGALG00000035207	1116	TDO2
ENSGALG00000035207	1095	TDO2
ENSGALG00000035207	1047	TDO2
ENSGALG00000004559	2196	DPY19L3
ENSGALG00000004559	2151	DPY19L3
ENSGALG00000004559	2139	DPY19L3
ENSGALG00000008677	2522	VIM
ENSGALG00000008677	1474	VIM
ENSGALG00000034070	3404	GAD67
ENSGALG00000029970	1864	LIMS1
ENSGALG00000029970	1950	LIMS1
ENSGALG00000029970	1011	LIMS1
ENSGALG00000038619	1443	
ENSGALG00000005687	1490	CUEDC2
ENSGALG00000005687	1337	CUEDC2
ENSGALG00000005687	1422	CUEDC2
ENSGALG00000035296	4053	
ENSGALG00000003944	1899	FAM189A1
ENSGALG00000003944	573	FAM189A1
ENSGALG00000015425	2728	LPL
ENSGALG00000037845	414	
ENSGALG00000014280	814	AICDA
ENSGALG00000030027	2093	MCAM
ENSGALG00000030027	3461	MCAM
ENSGALG00000030027	2801	MCAM
ENSGALG00000030027	1881	MCAM
ENSGALG00000008660	1370	CST7
ENSGALG00000015626	4521	RGS12
ENSGALG00000015626	3936	RGS12
ENSGALG00000015626	4125	RGS12
ENSGALG00000034094	1604	SP5
ENSGALG00000034896	4109	
ENSGALG00000043432	756	
ENSGALG00000041021	834	
ENSGALG00000010109	2388	RNF220
ENSGALG00000010109	1586	RNF220
ENSGALG00000027471	456	MFAP5
ENSGALG00000040471	6411	MVP
ENSGALG00000033603	2990	METTL22
ENSGALG00000041095	3240	
ENSGALG00000036248	1553	
ENSGALG00000005631	4578	TRPM2
ENSGALG00000037744	6725	CACNA1S
ENSGALG00000037744	6668	CACNA1S
ENSGALG00000032862	447	
ENSGALG00000033116	1422	
ENSGALG00000033116	1163	
ENSGALG00000033116	762	
ENSGALG00000033116	591	
ENSGALG00000040807	1279	DMTN
ENSGALG00000007522	4624	ABCC3
ENSGALG00000007522	4673	ABCC3
ENSGALG00000007522	5227	ABCC3
ENSGALG00000033079	2269	RRAGC
ENSGALG00000033079	3138	RRAGC
ENSGALG00000033079	3078	RRAGC
ENSGALG00000033079	1316	RRAGC
ENSGALG00000032610	4211	NAGLU
ENSGALG00000037508	399	
ENSGALG00000015035	4670	MFSD4B
ENSGALG00000008651	1929	APMAP
ENSGALG00000031019	749	
ENSGALG00000035961	1483	
ENSGALG00000039005	636	TMEM114
ENSGALG00000027429	951	HSD17B1
ENSGALG00000015040	1170	SLC16A10
ENSGALG00000039681	2756	
ENSGALG00000016808	8229	
ENSGALG00000015428	4620	PSD3
ENSGALG00000015428	6453	PSD3
ENSGALG00000015428	3246	PSD3
ENSGALG00000010177	6186	ZFC3H1
ENSGALG00000010177	5910	ZFC3H1
ENSGALG00000010177	5630	ZFC3H1
ENSGALG00000010110	1428	TMEM53
ENSGALG00000041744	532	OTOS
ENSGALG00000040184	1197	RIMKLB
ENSGALG00000028866	1833	COASY
