am_gene_id	transcript_id	protein_id	gene_symbol	gene_name	
AMISG002828	AMIST004234	AMISP004234	ABHD5	abhydrolase domain containing 5	
AMISG002829	AMIST004235	AMISP004235	AMISG002829	AMISG002829 uncharacterized protein	
AMISG002830	AMIST004236	AMISP004236	AMISG002830	AMISG002830 uncharacterized protein	
AMISG002831	AMIST004237|AMIST004238|AMIST004239	AMISP004237|AMISP004238|AMISP004239	EXOC3L4	exocyst complex component 3-like 4	
AMISG002832	AMIST004240	AMISP004240	AMISG002832	AMISG002832 uncharacterized protein	
AMISG002833	AMIST004241	AMISP004241	AMISG002833	AMISG002833 uncharacterized protein	
AMISG002834	AMIST004242	AMISP004242	AMISG002834	AMISG002834 uncharacterized protein	
AMISG002835	AMIST004243	AMISP004243	AMISG002835	AMISG002835 uncharacterized protein	
AMISG002836	AMIST004244	AMISP004244	CDC42BPB	CDC42 binding protein kinase beta (DMPK-like)	
AMISG002837	AMIST004245	AMISP004245	AMN	amnionless homolog (mouse)	
AMISG002838	AMIST004246|AMIST004247	AMISP004246|AMISP004247	TRAF3	TNF receptor-associated factor 3	
AMISG002839	AMIST004248|AMIST004249|AMIST004250|AMIST004251|AMIST004252	AMISP004248|AMISP004249|AMISP004250|AMISP004251|AMISP004252	LOC100553281L	similar to anole LOC100553281 (uncharacterized LOC100553281)	
AMISG002840	AMIST004253|AMIST004254	AMISP004253|AMISP004254	AMISG002840	AMISG002840 uncharacterized protein	
AMISG002841	AMIST004255	AMISP004255	AMISG002841	AMISG002841 uncharacterized protein	
AMISG002842	AMIST004256|AMIST004257|AMIST004258|AMIST004259	AMISP004256|AMISP004257|AMISP004258|AMISP004259	PLXNA2	plexin A2	
AMISG002843	AMIST004260	AMISP004260	AMISG002843	AMISG002843 uncharacterized protein	
AMISG002844	AMIST004261|AMIST004262	AMISP004261|AMISP004262	AMISG002844	AMISG002844 uncharacterized protein	
AMISG002845	AMIST004263	AMISP004263	SI:DKEY-26I13.8L	similar to zebrafish si:dkey-26i13.8	
AMISG002846	AMIST004264	AMISP004264	CHST12	carbohydrate (chondroitin 4) sulfotransferase 12	
AMISG002847	AMIST004265|AMIST004266	AMISP004265|AMISP004266	AMISG002847	AMISG002847 uncharacterized protein	
AMISG002848	AMIST004267	AMISP004267	GRIFIN	galectin-related inter-fiber protein	
AMISG002849	AMIST004268|AMIST004269	AMISP004268|AMISP004269	LFNG	LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase	
AMISG002850	AMIST004270	AMISP004270	PLCH2A	phospholipase C	
AMISG002851	AMIST004271|AMIST004272	AMISP004271|AMISP004272	RNF150	ring finger protein 150	
AMISG002852	AMIST004273|AMIST004274	AMISP004273|AMISP004274	FAM131C	family with sequence similarity 131	
AMISG002853	AMIST004275|AMIST004276	AMISP004275|AMISP004276	CLCNKB	chloride channel	
AMISG002854	AMIST004277	AMISP004277	HSPB7	heat shock 27kDa protein family	
AMISG002855	AMIST004278	AMISP004278	AMISG002855	AMISG002855 uncharacterized protein	
AMISG002856	AMIST004279	AMISP004279	AMISG002856	AMISG002856 uncharacterized protein	
AMISG002857	AMIST004280	AMISP004280	AMISG002857	AMISG002857 uncharacterized protein	
AMISG002858	AMIST004281	AMISP004281	AMISG002858	AMISG002858 uncharacterized protein	
AMISG002859	AMIST004282	AMISP004282	AMISG002859	AMISG002859 uncharacterized protein	
AMISG002860	AMIST004283	AMISP004283	AMISG002860	AMISG002860 uncharacterized protein	
AMISG002861	AMIST004284|AMIST004285	AMISP004284|AMISP004285	RHBDD2	rhomboid domain containing 2	
AMISG002862	AMIST004286	AMISP004286	IL2RA	interleukin 2 receptor	
AMISG002863	AMIST004287|AMIST004288	AMISP004287|AMISP004288	AMISG002863	AMISG002863 uncharacterized protein	
AMISG002864	AMIST004289	AMISP004289	AMISG002864	AMISG002864 uncharacterized protein	
AMISG002865	AMIST004290|AMIST004291	AMISP004290|AMISP004291	BTBD3	BTB (POZ) domain containing 3	
AMISG002866	AMIST004292	AMISP004292	AMISG002866	AMISG002866 uncharacterized protein	
AMISG002867	AMIST004293	AMISP004293	AMISG002867	AMISG002867 uncharacterized protein	
AMISG002868	AMIST004294	AMISP004294	AMISG002868	AMISG002868 uncharacterized protein	
AMISG002869	AMIST004295|AMIST004296|AMIST004297	AMISP004295|AMISP004296|AMISP004297	AMISG002869	AMISG002869 uncharacterized protein	
AMISG002870	AMIST004298	AMISP004298	AMISG002870	AMISG002870 uncharacterized protein	
AMISG002871	AMIST004299|AMIST004300|AMIST004301|AMIST004302|AMIST004303	AMISP004299|AMISP004300|AMISP004301|AMISP004302|AMISP004303	LOC100858148L	similar to chicken LOC100858148 (uncharacterized LOC100858148)	
AMISG002872	AMIST004304	AMISP004304	JAG1	jagged 1	
AMISG002873	AMIST004305|AMIST004306	AMISP004305|AMISP004306	SLX4IP	SLX4 interacting protein	
AMISG002874	AMIST004307|AMIST004308	AMISP004307|AMISP004308	AFF2	AF4/FMR2 family	
AMISG002875	AMIST004309	AMISP004309	AMISG002875	AMISG002875 uncharacterized protein	
AMISG002876	AMIST004310	AMISP004310	AMISG002876	AMISG002876 uncharacterized protein	
AMISG002877	AMIST004311	AMISP004311	SHC3	src homology 2 domain-containing transforming protein C3	
AMISG002878	AMIST004312	AMISP004312	S1PR3	sphingosine-1-phosphate receptor 3	
AMISG002879	AMIST004313|AMIST004314	AMISP004313|AMISP004314	AMISG002879	AMISG002879 uncharacterized protein	
AMISG002880	AMIST004315	AMISP004315	AMISG002880	AMISG002880 uncharacterized protein	
AMISG002881	AMIST004316	AMISP004316	NXNL2	nucleoredoxin-like 2	
AMISG002882	AMIST004317	AMISP004317	AMISG002882	AMISG002882 uncharacterized protein	
AMISG002883	AMIST004318	AMISP004318	SPINZ	spindlin 1	
AMISG002884	AMIST004319|AMIST004320	AMISP004319|AMISP004320	AMISG002884	AMISG002884 uncharacterized protein	
AMISG002885	AMIST004321	AMISP004321	AMISG002885	AMISG002885 uncharacterized protein	
AMISG002886	AMIST004322	AMISP004322	AMISG002886	AMISG002886 uncharacterized protein	
AMISG002887	AMIST004323|AMIST004324	AMISP004323|AMISP004324	INSIG2	insulin induced gene 2	
AMISG002888	AMIST004325	AMISP004325	AMISG002888	AMISG002888 uncharacterized protein	
AMISG002889	AMIST004326	AMISP004326	EN1	engrailed homeobox 1	
AMISG002890	AMIST004327	AMISP004327	MARCO	macrophage receptor with collagenous structure	
AMISG002891	AMIST004328	AMISP004328	AMISG002891	AMISG002891 uncharacterized protein	
AMISG002892	AMIST004329	AMISP004329	AMISG002892	AMISG002892 uncharacterized protein	
AMISG002893	AMIST004330	AMISP004330	STEAP3	STEAP family member 3	
AMISG002894	AMIST004331	AMISP004331	C7H2ORF76L	similar to chicken C7H2ORF76	
AMISG002895	AMIST004332	AMISP004332	TMEM37	transmembrane protein 37	
AMISG002896	AMIST004333	AMISP004333	AMISG002896	AMISG002896 uncharacterized protein	
AMISG002897	AMIST004334	AMISP004334	AMISG002897	AMISG002897 uncharacterized protein	
AMISG002898	AMIST004335|AMIST004336|AMIST004337|AMIST004338|AMIST004339	AMISP004335|AMISP004336|AMISP004337|AMISP004338|AMISP004339	LOC100564878L	similar to green anole LOC100564878 (potassium voltage-gated channel subfamily KQT member 1-like)	
AMISG002899	AMIST004340	AMISP004340	AMISG002899	AMISG002899 uncharacterized protein	
AMISG002900	AMIST004341	AMISP004341	MRPS35	mitochondrial ribosomal protein S35	
AMISG002901	AMIST004342	AMISP004342	MANSC4	MANSC domain containing 4	
AMISG002902	AMIST004343	AMISP004343	KLHDC5	kelch domain containing 5	
AMISG002903	AMIST004344|AMIST004345|AMIST004346|AMIST004347	AMISP004344|AMISP004345|AMISP004346|AMISP004347	MGAT4C	mannosyl (alpha-1	
AMISG002904	AMIST004348	AMISP004348	AMISG002904	AMISG002904 uncharacterized protein	
AMISG002905	AMIST004349	AMISP004349	AMISG002905	AMISG002905 uncharacterized protein	
AMISG002906	AMIST004350|AMIST004351|AMIST004352	AMISP004350|AMISP004351|AMISP004352	POSTN	periostin	
AMISG002907	AMIST004353	AMISP004353	AMISG002907	AMISG002907 uncharacterized protein	
AMISG002908	AMIST004354	AMISP004354	AMISG002908	AMISG002908 uncharacterized protein	
AMISG002909	AMIST004355|AMIST004356|AMIST004357	AMISP004355|AMISP004356|AMISP004357	AMISG002909	AMISG002909 uncharacterized protein	
AMISG002910	AMIST004358	AMISP004358	KCNK13	potassium channel	
AMISG002911	AMIST004359	AMISP004359	TDP1	tyrosyl-DNA phosphodiesterase 1	
AMISG002912	AMIST004360	AMISP004360	OR2A5	olfactory receptor	
AMISG002913	AMIST004361	AMISP004361	AMISG002913	AMISG002913 uncharacterized protein	
AMISG002914	AMIST004362|AMIST004363	AMISP004362|AMISP004363	CLEC12B	C-type lectin domain family 12	
AMISG002915	AMIST004364|AMIST004365	AMISP004364|AMISP004365	ENY2	enhancer of yellow 2 homolog (Drosophila)	
AMISG002916	AMIST004366	AMISP004366	EBAG9	estrogen receptor binding site associated	
AMISG002917	AMIST004367	AMISP004367	SYBU	syntabulin (syntaxin-interacting)	
AMISG002918	AMIST004368|AMIST004369	AMISP004368|AMISP004369	AMISG002918	AMISG002918 uncharacterized protein	
AMISG002919	AMIST004370	AMISP004370	AMISG002919	AMISG002919 uncharacterized protein	
AMISG002920	AMIST004371|AMIST004372	AMISP004371|AMISP004372	AMISG002920	AMISG002920 uncharacterized protein	
AMISG002921	AMIST004373|AMIST004374	AMISP004373|AMISP004374	WHSC2	Wolf-Hirschhorn syndrome candidate 2	
AMISG002922	AMIST004375	AMISP004375	MEGF9	multiple EGF-like-domains 9	
AMISG002923	AMIST004376|AMIST004377	AMISP004376|AMISP004377	AMISG002923	AMISG002923 uncharacterized protein	
AMISG002924	AMIST004378	AMISP004378	AMISG002924	AMISG002924 uncharacterized protein	
AMISG002925	AMIST004379	AMISP004379	AMISG002925	AMISG002925 uncharacterized protein	
AMISG002926	AMIST004380	AMISP004380	ATP6V1B1	ATPase	
AMISG002927	AMIST004381	AMISP004381	ANKRD53	ankyrin repeat domain 53	
AMISG002928	AMIST004382	AMISP004382	TEX261	testis expressed 261	
AMISG002929	AMIST004383	AMISP004383	AMISG002929	AMISG002929 uncharacterized protein	
AMISG002930	AMIST004384	AMISP004384	NAGK	N-acetylglucosamine kinase	
AMISG002931	AMIST004385|AMIST004386|AMIST004387	AMISP004385|AMISP004386|AMISP004387	PAIP2B	poly(A) binding protein interacting protein 2B	
AMISG002932	AMIST004388	AMISP004388	AMISG002932	AMISG002932 uncharacterized protein	
AMISG002933	AMIST004389	AMISP004389	ZNF638	zinc finger protein 638	
AMISG002934	AMIST004390|AMIST004391	AMISP004390|AMISP004391	DYSF	dysferlin	
AMISG002935	AMIST004392	AMISP004392	AMISG002935	AMISG002935 uncharacterized protein	
AMISG002936	AMIST004393	AMISP004393	AMISG002936	AMISG002936 uncharacterized protein	
AMISG002937	AMIST004394	AMISP004394	AMISG002937	AMISG002937 uncharacterized protein	
AMISG002938	AMIST004395	AMISP004395	AMISG002938	AMISG002938 uncharacterized protein	
AMISG002939	AMIST004396	AMISP004396	OR52M1	olfactory receptor	
AMISG002940	AMIST004397	AMISP004397	OLFR556	olfactory receptor 556	
AMISG002941	AMIST004398	AMISP004398	SPP1	secreted phosphoprotein 1	
AMISG002942	AMIST004399	AMISP004399	AMISG002942	AMISG002942 uncharacterized protein	
AMISG002943	AMIST004400|AMIST004401	AMISP004400|AMISP004401	MCAM	melanoma cell adhesion molecule	
AMISG002944	AMIST004402	AMISP004402	RNF26	ring finger protein 26	
AMISG002945	AMIST004403	AMISP004403	AMISG002945	AMISG002945 uncharacterized protein	
AMISG002946	AMIST004404	AMISP004404	C1QTNF5	C1q and tumor necrosis factor related protein 5	
AMISG002947	AMIST004405|AMIST004406|AMIST004407	AMISP004405|AMISP004406|AMISP004407	C1QTNF5	C1q and tumor necrosis factor related protein 5	
AMISG002948	AMIST004408|AMIST004409	AMISP004408|AMISP004409	USP2	ubiquitin specific peptidase 2	
AMISG002949	AMIST004410	AMISP004410	THY1	Thy-1 cell surface antigen	
AMISG002950	AMIST004411	AMISP004411	PVRL2	poliovirus receptor-related 2 (herpesvirus entry mediator B)	
AMISG002951	AMIST004412	AMISP004412	TRIM29	tripartite motif containing 29	
AMISG002952	AMIST004413	AMISP004413	AMISG002952	AMISG002952 uncharacterized protein	
AMISG002953	AMIST004414|AMIST004415|AMIST004416|AMIST004417|AMIST004418	AMISP004414|AMISP004415|AMISP004416|AMISP004417|AMISP004418	PRR5	proline rich 5 (renal)	
AMISG002954	AMIST004419	AMISP004419	AMISG002954	AMISG002954 uncharacterized protein	
AMISG002955	AMIST004420|AMIST004421|AMIST004422|AMIST004423	AMISP004420|AMISP004421|AMISP004422|AMISP004423	AMISG002955	AMISG002955 uncharacterized protein	
AMISG002956	AMIST004424	AMISP004424	SNTG1	syntrophin	
AMISG002957	AMIST004425	AMISP004425	KLF3	Kruppel-like factor 3 (basic)	
AMISG002958	AMIST004426	AMISP004426	AMISG002958	AMISG002958 uncharacterized protein	
AMISG002959	AMIST004427	AMISP004427	AMISG002959	AMISG002959 uncharacterized protein	
AMISG002960	AMIST004428	AMISP004428	AMISG002960	AMISG002960 uncharacterized protein	
AMISG002961	AMIST004429	AMISP004429	AMISG002961	AMISG002961 uncharacterized protein	
AMISG002962	AMIST004430|AMIST004431	AMISP004430|AMISP004431	AMISG002962	AMISG002962 uncharacterized protein	
AMISG002963	AMIST004432|AMIST004433|AMIST004434	AMISP004432|AMISP004433|AMISP004434	AMISG002963	AMISG002963 uncharacterized protein	
AMISG002964	AMIST004435	AMISP004435	AMISG002964	AMISG002964 uncharacterized protein	
AMISG002965	AMIST004436	AMISP004436	USP24	ubiquitin specific peptidase 24	
AMISG002966	AMIST004437	AMISP004437	PCSK9	proprotein convertase subtilisin/kexin type 9	
AMISG002967	AMIST004438	AMISP004438	BSND	Bartter syndrome	
AMISG002968	AMIST004439	AMISP004439	TMEM61	transmembrane protein 61	
AMISG002969	AMIST004440	AMISP004440	DHCR24	24-dehydrocholesterol reductase	
AMISG002970	AMIST004441|AMIST004442	AMISP004441|AMISP004442	C8H1ORF177L	similar to chicken C8H1ORF177	
AMISG002971	AMIST004443|AMIST004444	AMISP004443|AMISP004444	TTC22	tetratricopeptide repeat domain 22	
AMISG002972	AMIST004445|AMIST004446	AMISP004445|AMISP004446	MROH7	maestro heat-like repeat family member 7	
AMISG002973	AMIST004447	AMISP004447	TTC4	tetratricopeptide repeat domain 4	
AMISG002974	AMIST004448	AMISP004448	LOC569653L	similar to zebrafish LOC569653 (transmembrane protein 205-like)	
AMISG002975	AMIST004449	AMISP004449	FAM151A	family with sequence similarity 151	
AMISG002976	AMIST004450	AMISP004450	ACOT11	acyl-CoA thioesterase 11	
AMISG002977	AMIST004451	AMISP004451	AMISG002977	AMISG002977 uncharacterized protein	
AMISG002978	AMIST004452|AMIST004453|AMIST004454	AMISP004452|AMISP004453|AMISP004454	SSBP3	single stranded DNA binding protein 3	
AMISG002979	AMIST004455	AMISP004455	MRPL37	mitochondrial ribosomal protein L37	
AMISG002980	AMIST004456	AMISP004456	CYB5RL	cytochrome b5 reductase-like	
AMISG002981	AMIST004457	AMISP004457	CDCP2	CUB domain containing protein 2	
AMISG002982	AMIST004458	AMISP004458	TCEANC2	transcription elongation factor A (SII) N-terminal and central domain containing 2	
AMISG002983	AMIST004459|AMIST004460	AMISP004459|AMISP004460	TMEM59	transmembrane protein 59	
AMISG002984	AMIST004461|AMIST004462	AMISP004461|AMISP004462	LDLRAD1	low density lipoprotein receptor class A domain containing 1	
AMISG002985	AMIST004463	AMISP004463	LRRC42	leucine rich repeat containing 42	
AMISG002986	AMIST004464	AMISP004464	HSPB11	heat shock protein family B (small)	
AMISG002987	AMIST004465	AMISP004465	DIO1	deiodinase	
AMISG002988	AMIST004466	AMISP004466	YIPF1	Yip1 domain family	
AMISG002989	AMIST004467	AMISP004467	TMEM48	transmembrane protein 48	
AMISG002990	AMIST004468|AMIST004469	AMISP004468|AMISP004469	SREBF2	sterol regulatory element binding transcription factor 2	
AMISG002991	AMIST004470	AMISP004470	CCDC134	coiled-coil domain containing 134	
AMISG002992	AMIST004471|AMIST004472	AMISP004471|AMISP004472	MEI1	meiosis inhibitor 1	
AMISG002993	AMIST004473	AMISP004473	NHP2L1	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae)	
AMISG002994	AMIST004474	AMISP004474	XRCC6	X-ray repair complementing defective repair in Chinese hamster cells 6	
AMISG002995	AMIST004475	AMISP004475	DESI1	desumoylating isopeptidase 1	
AMISG002996	AMIST004476|AMIST004477	AMISP004476|AMISP004477	PMM1	phosphomannomutase 1	
AMISG002997	AMIST004478	AMISP004478	CSDC2	cold shock domain containing C2	
AMISG002998	AMIST004479	AMISP004479	POLR3H	polymerase (RNA) III (DNA directed) polypeptide H (22.9kD)	
AMISG002999	AMIST004480	AMISP004480	ACO2	aconitase 2	
AMISG003000	AMIST004481	AMISP004481	PHF5A	PHD finger protein 5A	
AMISG003001	AMIST004482	AMISP004482	AMISG003001	AMISG003001 uncharacterized protein	
AMISG003002	AMIST004483	AMISP004483	SMARCC1	SWI/SNF related	
AMISG003003	AMIST004484	AMISP004484	LOC100555328L	similar to anole LOC100555328 (e3 ubiquitin-protein ligase RNF5-like)	
AMISG003004	AMIST004485	AMISP004485	AGPAT1	1-acylglycerol-3-phosphate O-acyltransferase 1	
AMISG003005	AMIST004486	AMISP004486	AMISG003005	AMISG003005 uncharacterized protein	
AMISG003006	AMIST004487|AMIST004488	AMISP004487|AMISP004488	SNRNP25	small nuclear ribonucleoprotein 25kDa (U11/U12)	
AMISG003007	AMIST004489	AMISP004489	RHBDF1	rhomboid 5 homolog 1 (Drosophila)	
AMISG003008	AMIST004490	AMISP004490	AMISG003008	AMISG003008 uncharacterized protein	
AMISG003009	AMIST004491	AMISP004491	SUSD5	sushi domain containing 5	
AMISG003010	AMIST004492|AMIST004493	AMISP004492|AMISP004493	C9ORF84L	similar to human C9orf84	
AMISG003011	AMIST004494	AMISP004494	GNG10	guanine nucleotide binding protein (G protein)	
AMISG003012	AMIST004495	AMISP004495	DNAJC25	DnaJ (Hsp40) homolog	
AMISG003013	AMIST004496	AMISP004496	KIAA0368	KIAA0368	
AMISG003014	AMIST004497	AMISP004497	SMC2	structural maintenance of chromosomes 2	
AMISG003015	AMIST004498|AMIST004499	AMISP004498|AMISP004499	PTGR1	prostaglandin reductase 1	
AMISG003016	AMIST004500	AMISP004500	TXN	thioredoxin	
AMISG003017	AMIST004501	AMISP004501	UNC93A	unc-93 homolog A (C. elegans)	
AMISG003018	AMIST004502	AMISP004502	TTLL2	tubulin tyrosine ligase-like family	
AMISG003019	AMIST004503|AMIST004504	AMISP004503|AMISP004504	TCP10	t-complex 10 homolog (mouse)	
AMISG003020	AMIST004505|AMIST004506|AMIST004507	AMISP004505|AMISP004506|AMISP004507	AMISG003020	AMISG003020 uncharacterized protein	
AMISG003021	AMIST004508	AMISP004508	PBLD	phenazine biosynthesis-like protein domain containing	
AMISG003022	AMIST004509|AMIST004510	AMISP004509|AMISP004510	HNRNPH3	heterogeneous nuclear ribonucleoprotein H3 (2H9)	
AMISG003023	AMIST004511	AMISP004511	RUFY2	RUN and FYVE domain containing 2	
AMISG003024	AMIST004512	AMISP004512	DNA2	DNA replication helicase 2 homolog (yeast)	
AMISG003025	AMIST004513	AMISP004513	SLC25A16	solute carrier family 25 (mitochondrial carrier; Graves disease autoantigen)	
AMISG003026	AMIST004514	AMISP004514	CXXC5	CXXC finger protein 5	
AMISG003027	AMIST004515	AMISP004515	AMISG003027	AMISG003027 uncharacterized protein	
AMISG003028	AMIST004516	AMISP004516	RET	ret proto-oncogene	
AMISG003029	AMIST004517	AMISP004517	AMISG003029	AMISG003029 uncharacterized protein	
AMISG003030	AMIST004518	AMISP004518	AMISG003030	AMISG003030 uncharacterized protein	
AMISG003031	AMIST004519	AMISP004519	AMISG003031	AMISG003031 uncharacterized protein	
AMISG003032	AMIST004520|AMIST004521	AMISP004520|AMISP004521	AMISG003032	AMISG003032 uncharacterized protein	
AMISG003033	AMIST004522|AMIST004523	AMISP004522|AMISP004523	AMISG003033	AMISG003033 uncharacterized protein	
AMISG003034	AMIST004524	AMISP004524	LOC100564946L	similar to green anole LOC100564946 (adenosine receptor A2a-like)	
AMISG003035	AMIST004525|AMIST004526|AMIST004527|AMIST004528|AMIST004529	AMISP004525|AMISP004526|AMISP004527|AMISP004528|AMISP004529	RGS17	regulator of G-protein signaling 17	
AMISG003036	AMIST004530|AMIST004531|AMIST004532|AMIST004533|AMIST004534	AMISP004530|AMISP004531|AMISP004532|AMISP004533|AMISP004534	MTRF1L	mitochondrial translational release factor 1-like	
AMISG003037	AMIST004535|AMIST004536	AMISP004535|AMISP004536	FAM124A	family with sequence similarity 124A	
AMISG003038	AMIST004537|AMIST004538|AMIST004539	AMISP004537|AMISP004538|AMISP004539	SERPINE3	serpin peptidase inhibitor	
AMISG003039	AMIST004540	AMISP004540	INTS6	integrator complex subunit 6	
AMISG003040	AMIST004541	AMISP004541	AMISG003040	AMISG003040 uncharacterized protein	
AMISG003041	AMIST004542|AMIST004543|AMIST004544	AMISP004542|AMISP004543|AMISP004544	WDFY2	WD repeat and FYVE domain containing 2	
AMISG003042	AMIST004545	AMISP004545	LOC100565482L	similar to anole LOC100565482 (uncharacterized LOC100565482)	
AMISG003043	AMIST004546	AMISP004546	CCDC70	coiled-coil domain containing 70	
AMISG003044	AMIST004547	AMISP004547	ATP7B	ATPase	
AMISG003045	AMIST004548	AMISP004548	ALG11	asparagine-linked glycosylation 11	
AMISG003046	AMIST004549|AMIST004550|AMIST004551	AMISP004549|AMISP004550|AMISP004551	NEK5	NIMA (never in mitosis gene a)-related kinase 5	
AMISG003047	AMIST004552|AMIST004553	AMISP004552|AMISP004553	NEK3	NIMA (never in mitosis gene a)-related kinase 3	
AMISG003048	AMIST004554|AMIST004555	AMISP004554|AMISP004555	CKAP2	cytoskeleton associated protein 2	
AMISG003049	AMIST004556	AMISP004556	VPS36	vacuolar protein sorting 36 homolog (S. cerevisiae)	
AMISG003050	AMIST004557	AMISP004557	THSD1	thrombospondin	
AMISG003051	AMIST004558	AMISP004558	LOC428073L	similar to chicken LOC428073 (fibrinogen-like protein 1-like)	
AMISG003052	AMIST004559	AMISP004559	TPTE2	transmembrane phosphoinositide 3-phosphatase and tensin homolog 2	
AMISG003053	AMIST004560|AMIST004561|AMIST004562	AMISP004560|AMISP004561|AMISP004562	SLC25A15	solute carrier family 25 (mitochondrial carrier; ornithine transporter) member 15	
AMISG003054	AMIST004563|AMIST004564	AMISP004563|AMISP004564	MRPS31	mitochondrial ribosomal protein S31	
AMISG003055	AMIST004565	AMISP004565	FOXO1	forkhead box O1	
AMISG003056	AMIST004566	AMISP004566	AMISG003056	AMISG003056 uncharacterized protein	
AMISG003057	AMIST004567	AMISP004567	AMISG003057	AMISG003057 uncharacterized protein	
AMISG003058	AMIST004568	AMISP004568	AMISG003058	AMISG003058 uncharacterized protein	
AMISG003059	AMIST004569	AMISP004569	COG6	component of oligomeric golgi complex 6	
AMISG003060	AMIST004570|AMIST004571|AMIST004572	AMISP004570|AMISP004571|AMISP004572	AMISG003060	AMISG003060 uncharacterized protein	
AMISG003061	AMIST004573|AMIST004574	AMISP004573|AMISP004574	RPS3	ribosomal protein S3	
AMISG003062	AMIST004575|AMIST004576	AMISP004575|AMISP004576	SERPINH1	serpin peptidase inhibitor	
AMISG003063	AMIST004577	AMISP004577	AMISG003063	AMISG003063 uncharacterized protein	
AMISG003064	AMIST004578	AMISP004578	AMISG003064	AMISG003064 uncharacterized protein	
AMISG003065	AMIST004579	AMISP004579	AMISG003065	AMISG003065 uncharacterized protein	
AMISG003066	AMIST004580	AMISP004580	AMISG003066	AMISG003066 uncharacterized protein	
AMISG003067	AMIST004581	AMISP004581	AMISG003067	AMISG003067 uncharacterized protein	
AMISG003068	AMIST004582	AMISP004582	AMISG003068	AMISG003068 uncharacterized protein	
AMISG003069	AMIST004583	AMISP004583	OLFML3	olfactomedin-like 3	
AMISG003070	AMIST004584	AMISP004584	SYT6	synaptotagmin VI	
AMISG003071	AMIST004585|AMIST004586|AMIST004587	AMISP004585|AMISP004586|AMISP004587	TRIM33	tripartite motif containing 33	
AMISG003072	AMIST004588	AMISP004588	DENND2C	DENN/MADD domain containing 2C	
AMISG003073	AMIST004589|AMIST004590|AMIST004591	AMISP004589|AMISP004590|AMISP004591	AMISG003073	AMISG003073 uncharacterized protein	
AMISG003074	AMIST004592	AMISP004592	NRAS	neuroblastoma RAS viral (v-ras) oncogene homolog	
AMISG003075	AMIST004593|AMIST004594	AMISP004593|AMISP004594	CSDE1	cold shock domain containing E1	
AMISG003076	AMIST004595|AMIST004596	AMISP004595|AMISP004596	SIKE1	suppressor of IKBKE 1	
AMISG003077	AMIST004597|AMIST004598|AMIST004599|AMIST004600|AMIST004601|AMIST004602	AMISP004597|AMISP004598|AMISP004599|AMISP004600|AMISP004601|AMISP004602	SYCP1	synaptonemal complex protein 1	
AMISG003078	AMIST004603|AMIST004604	AMISP004603|AMISP004604	LOC100554747L	similar to anole LOC100554747 (uncharacterized LOC100554747)	
AMISG003079	AMIST004605	AMISP004605	TSHB	thyroid stimulating hormone	
AMISG003080	AMIST004606	AMISP004606	SLC25A22	solute carrier family 25 (mitochondrial carrier: glutamate)	
AMISG003081	AMIST004607	AMISP004607	AMISG003081	AMISG003081 uncharacterized protein	
AMISG003082	AMIST004608|AMIST004609	AMISP004608|AMISP004609	NGF	nerve growth factor (beta polypeptide)	
AMISG003083	AMIST004610|AMIST004611	AMISP004610|AMISP004611	AMISG003083	AMISG003083 uncharacterized protein	
AMISG003084	AMIST004612	AMISP004612	AMISG003084	AMISG003084 uncharacterized protein	
AMISG003085	AMIST004613	AMISP004613	DSTN	destrin (actin depolymerizing factor)	
AMISG003086	AMIST004614	AMISP004614	RRBP1	ribosome binding protein 1 homolog 180kDa (dog)	
AMISG003087	AMIST004615|AMIST004616|AMIST004617	AMISP004615|AMISP004616|AMISP004617	BAF-L	barrier-to-autointegration factor-like protein	
AMISG003088	AMIST004618	AMISP004618	SNX5	sorting nexin 5	
AMISG003089	AMIST004619|AMIST004620	AMISP004619|AMISP004620	MGME1	mitochondrial genome maintenance exonuclease 1	
AMISG003090	AMIST004621	AMISP004621	OVOL2	ovo-like 2 (Drosophila)	
AMISG003091	AMIST004622	AMISP004622	PET117	PET117 homolog (S. cerevisiae)	
AMISG003092	AMIST004623	AMISP004623	CSRP2BP	CSRP2 binding protein	
AMISG003093	AMIST004624	AMISP004624	BIRC5	baculoviral IAP repeat containing 5	
AMISG003094	AMIST004625|AMIST004626|AMIST004627|AMIST004628	AMISP004625|AMISP004626|AMISP004627|AMISP004628	DZANK1	double zinc ribbon and ankyrin repeat domains 1	
AMISG003095	AMIST004629	AMISP004629	POLR3F	polymerase (RNA) III (DNA directed) polypeptide F	
AMISG003096	AMIST004630	AMISP004630	AMISG003096	AMISG003096 uncharacterized protein	
AMISG003097	AMIST004631	AMISP004631	AMISG003097	AMISG003097 uncharacterized protein	
AMISG003098	AMIST004632|AMIST004633	AMISP004632|AMISP004633	KTN1	kinectin 1 (kinesin receptor)	
AMISG003099	AMIST004634	AMISP004634	C7ORF50L	similar to human C7orf50	
AMISG003100	AMIST004635	AMISP004635	LOC772391L	similar to chicken LOC772391 (cytochrome P450 2J2-like)	
AMISG003101	AMIST004636	AMISP004636	CYP2A13	cytochrome P450	
AMISG003102	AMIST004637	AMISP004637	ADAP1	ArfGAP with dual PH domains 1	
